"Angola","SDG 6.4.1. Water Use Efficiency (US$/m3)",,,"",,1997,53.5267064839,"I",,2002,66.8042720729,"I",,2007,108.3609599426,"I",,2012,143.116159043,"I",,2017,142.4678361857,"I",,,,"",
"Angola","SDG 6.4.1. Irrigated Agriculture Water Use Efficiency (US$/m3)",,,"",,1997,0.1788828865,"E",,2002,0.1241099383,"E",,2007,0.1285287716,"E",,2012,0.1453568628,"E",,2017,0.2479818478,"E",,,,"",
"Angola","SDG 6.4.1. Industrial Water Use Efficiency (US$/m3)",1992,160.0365895815,"E",,1997,144.3536595292,"E",,2002,127.692284131,"E",,2007,201.0141231267,"E",,2012,246.8436518492,"E",,2017,196.79070911,"E",,,,"",
"Angola","SDG 6.4.1. Services Water Use Efficiency (US$/m3)",1992,84.9118799124,"E",,1997,49.6903617964,"E",,2002,65.855406178,"E",,2007,88.573791723,"E",,2012,130.9744044372,"E",,2017,167.0308793114,"E",,,,"",

"",,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,,,"2018-2022",,
"Antigua and Barbuda","Total population (1000 inhab)",1992,64.471,"X",,1997,71.704,"X",,2002,78.295,"X",,2007,84.026,"X",,2012,90.409,"X",,2017,95.426,"X",,,,"",
"Antigua and Barbuda","Gross Domestic Product (GDP) (current US$)",1992,4.99281481E8,"X",,1997,6.80618519E8,"X",,2002,8.14381481E8,"X",,2007,1.312759259E9,"X",,2012,1.199948148E9,"X",,2017,1.467977778E9,"X",,,,"",
"Antigua and Barbuda","MDG 7.5. Freshwater withdrawal as % of total renewable water resources (%)",1992,4.141025641,"I",,1997,6.3205128205,"I",,2002,8.5,"I",,2007,9.4230769231,"I",,2012,8.4615384615,"E",,2017,8.4615384615,"I",,,,"",
"Antigua and Barbuda","Agricultural water withdrawal as % of total renewable water resources (%)",1992,2.0879120879,"I",,1997,2.5,"E",,2002,2.5,"I",,2007,2.7747252747,"I",,2012,3.4615384615,"E",,2017,3.4615384615,"I",,,,"",
"Antigua and Barbuda","SDG 6.4.2. Water Stress (%)",1992,4.141025641,"I",,1997,6.3205128205,"I",,2002,8.5,"I",,2007,9.4230769231,"I",,2012,8.4615384615,"E",,2017,8.4615384615,"I",,,,"",
"Antigua and Barbuda","SDG 6.4.1. Water Use Efficiency (US$/m3)",,,"",,1997,121.9075168917,"I",,2002,117.7569401484,"I",,2007,139.8095079857,"I",,2012,93.457340128,"I",,2017,109.8390234755,"I",,,,"",
"Antigua and Barbuda","SDG 6.4.1. Irrigated Agriculture Water Use Efficiency (US$/m3)",,,"",,1997,0.5554468166,"E",,2002,0.969320832,"E",,2007,1.6101283094,"E",,2012,1.5729382648,"E",,2017,1.869824499,"E",,,,"",
"Antigua and Barbuda","SDG 6.4.1. Industrial Water Use Efficiency (US$/m3)",1992,72.8020730446,"E",,1997,69.1011395329,"E",,2002,62.0956652493,"E",,2007,118.712789071,"E",,2012,53.985416658,"E",,2017,88.3892972031,"E",,,,"",
"Antigua and Barbuda","SDG 6.4.1. Services Water Use Efficiency (US$/m3)",1992,176.9487422494,"E",,1997,173.6521764582,"E",,2002,166.5261507966,"E",,2007,181.1583539402,"E",,2012,130.1339695764,"E",,2017,144.2791448419,"E",,,,"",

"",,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,,,"2018-2022",,
"Argentina","Total population (1000 inhab)",1992,33529.326,"X",,1997,35657.429,"X",,2002,37681.749,"X",,2007,39684.295,"X",,2012,41755.196,"X",,2017,43937.14,"X",,,,"",
"Argentina","Gross Domestic Product (GDP) (current US$)",1992,2.47929419773E11,"X",,1997,3.17532579013E11,"X",,2002,1.10583590317E11,"X",,2007,2.89755142707E11,"X",,2012,5.81430904393E11,"X",,2017,6.42695596034E11,"X",,,,"",
"Argentina","MDG 7.5. Freshwater withdrawal as % of total renewable water resources (%)",1992,3.2439243995,"E",,1997,3.3431788095,"E",,2002,3.6174929762,"E",,2007,3.9972962991,"E",,2012,4.3013329681,"I",,2017,4.3013329681,"I",,,,"",
"Argentina","Agricultural water withdrawal as % of total renewable water resources (%)",,,"",,1997,2.4559481421,"I",,2002,2.5889544583,"I",,2007,2.9214702489,"I",,2012,3.1874828814,"I",,2017,3.1874828814,"I",,,,"",
"Argentina","SDG 6.4.2. Water Stress (%)",1992,7.8860734541,"E",,1997,8.1273637776,"E",,2002,8.7942294014,"E",,2007,9.7175421959,"E",,2012,10.4566640772,"E",,2017,10.4566640772,"E",,,,"",
"Argentina","SDG 6.4.1. Water Use Efficiency (US$/m3)",,,"",,1997,12.1844518106,"I",,2002,9.2497026316,"I",,2007,12.2915076474,"I",,2012,13.0852194986,"I",,2017,13.6165637946,"I",,,,"",
"Argentina","SDG 6.4.1. Irrigated Agriculture Water Use Efficiency (US$/m3)",,,"",,1997,0.0807698546,"E",,2002,0.1096187224,"E",,2007,0.156627144,"E",,2012,0.1194985335,"E",,2017,0.1182923643,"E",,,,"",
"Argentina","SDG 6.4.1. Industrial Water Use Efficiency (US$/m3)",,,"",,1997,29.856348455,"E",,2002,22.932636843,"E",,2007,35.9563172417,"E",,2012,36.6709421629,"E",,2017,32.6395950352,"E",,,,"",
"Argentina","SDG 6.4.1. Services Water Use Efficiency (US$/m3)",,,"",,1997,55.7883861631,"E",,2002,39.0865313999,"E",,2007,51.4046339125,"E",,2012,58.8612358917,"E",,2017,65.0549562883,"E",,,,"",

"",,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,,,"2018-2022",,
"Armenia","Total population (1000 inhab)",1992,3442.817,"X",,1997,3133.089,"X",,2002,3033.978,"X",,2007,2932.618,"X",,2012,2884.234,"X",,2017,2944.791,"X",,,,"",
"Armenia","Gross Domestic Product (GDP) (current US$)",1992,1.251990701E9,"X",,1997,1.747514993E9,"X",,2002,2.534163311E9,"X",,2007,9.817806812E9,"X",,2012,1.0619320693E10,"X",,2017,1.1527458713E10,"X",,,,"",
"Armenia","MDG 7.5. Freshwater withdrawal as % of total renewable water resources (%)",,,"",,1997,23.8125884927,"E",,2002,22.293731497,"E",,2007,38.7694684001,"E",,2012,37.8555798687,"E",,2017,36.8773329901,"E",,,,"",
"Armenia","Agricultural water withdrawal as % of total renewable water resources (%)",,,"",,1997,22.0311494401,"I",,2002,14.6737031793,"E",,2007,24.3274552709,"E",,2012,27.1334792123,"E",,2017,27.3780409319,"E",,,,"",
"Armenia","SDG 6.4.2. Water Stress (%)",,,"",,1997,37.3209602582,"E",,2002,34.9404881985,"E",,2007,60.7625579988,"E",,2012,59.3302400646,"E",,2017,57.7970546702,"E",,,,"",
"Armenia","SDG 6.4.1. Water Use Efficiency (US$/m3)",,,"",,1997,0.9911500642,"I",,2002,2.2095662575,"I",,2007,2.5871338335,"E",,2012,2.6454839648,"E",,2017,3.2605190122,"E",,,,"",
"Armenia","SDG 6.4.1. Irrigated Agriculture Water Use Efficiency (US$/m3)",,,"",,1997,0.2603730985,"E",,2002,0.4698988262,"E",,2007,0.3934549267,"E",,2012,0.359128397,"E",,2017,0.3006164251,"E",,,,"",
"Armenia","SDG 6.4.1. Industrial Water Use Efficiency (US$/m3)",,,"",,1997,7.5849721199,"E",,2002,17.448563067,"E",,2007,22.422131202,"E",,2012,9.8239983138,"E",,2017,19.7188700513,"E",,,,"",
"Armenia","SDG 6.4.1. Services Water Use Efficiency (US$/m3)",,,"",,1997,1.6982545178,"E",,2002,3.788346668,"E",,2007,4.3587844376,"E",,2012,7.8970745561,"E",,2017,10.2060262081,"E",,,,"",

"",,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,,,"2018-2022",,
"Australia","Total population (1000 inhab)",1992,17402.173,"X",,1997,18387.214,"X",,2002,19401.368,"X",,2007,20916.344,"X",,2012,22903.948,"X",,2017,24584.62,"X",,,,"",
"Australia","Gross Domestic Product (GDP) (current US$)",1992,3.26067303232E11,"X",,1997,4.36474491235E11,"X",,2002,4.35171313118E11,"X",,2007,9.85139395309E11,"X",,2012,1.590707559043E12,"X",,2017,1.416105432089E12,"X",,,,"",
"Australia","MDG 7.5. Freshwater withdrawal as % of total renewable water resources (%)",,,"",,1997,4.4569512195,"E",,2002,4.2197730352,"E",,2007,3.2849796748,"E",,2012,3.1338753388,"E",,2017,3.2408536585,"E",,,,"",
"Australia","Agricultural water withdrawal as % of total renewable water resources (%)",,,"",,1997,3.131300813,"I",,2002,2.9131097561,"I",,2007,1.987195122,"I",,2012,1.9485772358,"E",,2017,2.1341463415,"E",,,,"",
"Australia","SDG 6.4.2. Water Stress (%)",,,"",,1997,8.8171290712,"E",,2002,8.3479225305,"E",,2007,6.498632891,"E",,2012,6.1997051334,"E",,2017,6.4113389626,"E",,,,"",
"Australia","SDG 6.4.1. Water Use Efficiency (US$/m3)",,,"",,,,"",,,,"",,2007,56.133785729,"I",,2012,66.2737265852,"I",,2017,72.2797509034,"E",,,,"",
"Australia","SDG 6.4.1. Irrigated Agriculture Water Use Efficiency (US$/m3)",,,"",,,,"",,,,"",,2007,0.4451300917,"E",,2012,0.3797794294,"E",,2017,0.4699458481,"E",,,,"",
"Australia","SDG 6.4.1. Industrial Water Use Efficiency (US$/m3)",,,"",,,,"",,2002,81.8597554594,"E",,2007,96.0353495176,"E",,2012,95.999319393,"E",,2017,106.2610897469,"E",,,,"",
"Australia","SDG 6.4.1. Services Water Use Efficiency (US$/m3)",,,"",,,,"",,2002,130.6561449677,"I",,2007,163.288880281,"E",,2012,213.6623157719,"E",,2017,267.9002193823,"E",,,,"",

"",,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,,,"2018-2022",,
"Austria","Total population (1000 inhab)",1992,7830.933,"X",,1997,8032.876,"X",,2002,8134.412,"X",,2007,8313.737,"X",,2012,8502.227,"X",,2017,8819.901,"X",,,,"",
"Austria","Gross Domestic Product (GDP) (current US$)",1992,1.95071775656E11,"X",,1997,2.1278626675E11,"X",,2002,2.13387477629E11,"X",,2007,3.88671495783E11,"X",,2012,4.09425234155E11,"X",,2017,4.18316161096E11,"X",,,,"",
"Austria","MDG 7.5. Freshwater withdrawal as % of total renewable water resources (%)",1992,4.7127413127,"I",,1997,4.6872586873,"E",,2002,4.6036036036,"E",,2007,4.5336229086,"I",,2012,4.4916344916,"I",,2017,4.4916344916,"I",,,,"",
"Austria","Agricultural water withdrawal as % of total renewable water resources (%)",1992,0.1287001287,"I",,1997,0.1287001287,"E",,2002,0.1287001287,"E",,2007,0.1102799228,"I",,2012,0.0992277992,"I",,2017,0.0992277992,"I",,,,"",
"Austria","SDG 6.4.2. Water Stress (%)",1992,10.118264714,"E",,1997,10.0635534678,"E",,2002,9.8839458414,"E",,2007,9.7336971539,"E",,2012,9.6435479414,"E",,2017,9.6435479414,"E",,,,"",
"Austria","SDG 6.4.1. Water Use Efficiency (US$/m3)",,,"",,1997,67.1770648176,"I",,2002,78.500721439,"I",,2007,93.7620087766,"I",,2012,94.2851558346,"I",,2017,100.732937341,"I",,,,"",
"Austria","SDG 6.4.1. Irrigated Agriculture Water Use Efficiency (US$/m3)",,,"",,1997,2.6927215731,"E",,2002,2.1387619582,"E",,2007,3.1475846632,"E",,2012,3.4843359298,"E",,2017,3.3647163088,"E",,,,"",
"Austria","SDG 6.4.1. Industrial Water Use Efficiency (US$/m3)",1992,22.5966680856,"E",,1997,24.7835527115,"E",,2002,27.5016015752,"E",,2007,33.0317916113,"E",,2012,31.812289644,"E",,2017,33.9898804513,"E",,,,"",
"Austria","SDG 6.4.1. Services Water Use Efficiency (US$/m3)",1992,224.5649286871,"E",,1997,252.8366462637,"E",,2002,312.9345428794,"E",,2007,374.9097324955,"E",,2012,337.8478191659,"E",,2017,360.9824208953,"E",,,,"",

"",,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,,,"2018-2022",,
"Azerbaijan","Total population (1000 inhab)",1992,7471.926,"X",,1997,7925.668,"X",,2002,8277.061,"X",,2007,8724.243,"X",,2012,9264.692,"X",,2017,9845.32,"X",,,,"",
"Azerbaijan","Gross Domestic Product (GDP) (current US$)",1992,5.297112234E9,"X",,1997,3.962337296E9,"X",,2002,6.236045524E9,"X",,2007,3.3049426816E10,"X",,2012,6.967991351E10,"X",,2017,4.0866632048E10,"X",,,,"",
"Azerbaijan","MDG 7.5. Freshwater withdrawal as % of total renewable water resources (%)",1992,46.7253064167,"E",,1997,36.1009372747,"E",,2002,29.0555155011,"E",,2007,35.3857245854,"E",,2012,34.5205479452,"E",,2017,36.8611391492,"E",,,,"",
"Azerbaijan","Agricultural water withdrawal as % of total renewable water resources (%)",1992,31.5212689257,"E",,1997,26.687815429,"E",,2002,18.387887527,"E",,2007,24.7469358327,"E",,2012,25.6294160058,"E",,2017,26.7339581831,"E",,,,"",
"Azerbaijan","SDG 6.4.2. Water Stress (%)",1992,71.547803047,"E",,1997,55.2793111062,"E",,2002,44.4910576286,"E",,2007,54.1841466107,"E",,2012,52.8593508501,"E",,2017,56.4433649812,"E",,,,"",
"Azerbaijan","SDG 6.4.1. Water Use Efficiency (US$/m3)",1992,0.8578902876,"E",,1997,0.655759079,"E",,2002,1.291718931,"E",,2007,2.8671520336,"E",,2012,3.7332687822,"E",,2017,3.6654715287,"E",,,,"",
"Azerbaijan","SDG 6.4.1. Irrigated Agriculture Water Use Efficiency (US$/m3)",1992,0.2977941266,"E",,1997,0.1523689393,"E",,2002,0.2443833229,"E",,2007,0.227771921,"E",,2012,0.2121225167,"E",,2017,0.2236419786,"E",,,,"",
"Azerbaijan","SDG 6.4.1. Industrial Water Use Efficiency (US$/m3)",1992,1.2807293584,"E",,1997,1.0930187302,"E",,2002,2.2605235624,"E",,2007,7.979996869,"E",,2012,8.9061356205,"E",,2017,8.1219134496,"E",,,,"",
"Azerbaijan","SDG 6.4.1. Services Water Use Efficiency (US$/m3)",1992,5.1234178659,"E",,1997,10.1768895274,"E",,2002,6.03912948,"E",,2007,14.2815545199,"E",,2012,30.9184101325,"E",,2017,44.2796502836,"E",,,,"",

"",,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,,,"2018-2022",,
"Bahamas","Total population (1000 inhab)",1992,266.029,"X",,1997,287.358,"X",,2002,307.66,"X",,2007,337.389,"X",,2012,363.584,"X",,2017,381.755,"X",,,,"",
"Bahamas","Gross Domestic Product (GDP) (current US$)",1992,4.6823848E9,"X",,1997,6.3324E9,"X",,2002,8.8812E9,"X",,2007,1.06183E10,"X",,2012,1.07205E10,"X",,2017,1.21504E10,"X",,,,"",
"Bahamas","MDG 7.5. Freshwater withdrawal as % of total renewable water resources (%)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Bahamas","Agricultural water withdrawal as % of total renewable water resources (%)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Bahamas","SDG 6.4.2. Water Stress (%)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Bahamas","SDG 6.4.1. Water Use Efficiency (US$/m3)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Bahamas","SDG 6.4.1. Irrigated Agriculture Water Use Efficiency (US$/m3)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Bahamas","SDG 6.4.1. Industrial Water Use Efficiency (US$/m3)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Bahamas","SDG 6.4.1. Services Water Use Efficiency (US$/m3)",,,"",,,,"",,2002,365.8354457156,"E",,2007,362.4670750671,"E",,2012,309.4111628703,"E",,2017,290.5811544686,"E",,,,"",

"",,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,,,"2018-2022",,
"Bahrain","Total population (1000 inhab)",1992,523.086,"X",,1997,594.931,"X",,2002,735.146,"X",,2007,1035.919,"X",,2012,1299.944,"X",,2017,1494.076,"X",,,,"",
"Bahrain","Gross Domestic Product (GDP) (current US$)",1992,5.432210287E9,"X",,1997,7.315426213E9,"X",,2002,9.593509106E9,"X",,2007,2.1730012434E10,"X",,2012,3.0749332535E10,"X",,2017,3.5432666386E10,"X",,,,"",
"Bahrain","MDG 7.5. Freshwater withdrawal as % of total renewable water resources (%)",1992,179.1097480106,"E",,1997,222.7354111406,"E",,2002,220.6139478338,"E",,2007,187.092476489,"I",,2012,163.7382445141,"I",,2017,133.7068965517,"I",,,,"",
"Bahrain","Agricultural water withdrawal as % of total renewable water resources (%)",1992,122.4137931034,"I",,1997,137.5,"I",,2002,140.3448275862,"I",,2007,129.9059561129,"I",,2012,120.736677116,"I",,2017,124.7413793103,"I",,,,"",
"Bahrain","SDG 6.4.2. Water Stress (%)",1992,179.1097480106,"E",,1997,222.7354111406,"E",,2002,220.6139478338,"E",,2007,187.092476489,"I",,2012,163.7382445141,"I",,2017,133.7068965517,"I",,,,"",
"Bahrain","SDG 6.4.1. Water Use Efficiency (US$/m3)",,,"",,1997,40.3983499964,"I",,2002,45.5580899081,"I",,2007,59.0914338533,"I",,2012,65.5092678039,"I",,2017,76.2135198629,"I",,,,"",
"Bahrain","SDG 6.4.1. Irrigated Agriculture Water Use Efficiency (US$/m3)",,,"",,1997,0.4868835084,"E",,2002,0.4901769965,"E",,2007,0.4210533935,"E",,2012,0.5005544266,"E",,2017,0.6213942861,"E",,,,"",
"Bahrain","SDG 6.4.1. Industrial Water Use Efficiency (US$/m3)",1992,284.0139286123,"E",,1997,278.549369951,"E",,2002,313.7428575519,"E",,2007,512.8858905566,"E",,2012,653.8025724313,"E",,2017,948.6757614276,"E",,,,"",
"Bahrain","SDG 6.4.1. Services Water Use Efficiency (US$/m3)",1992,67.5493667719,"E",,1997,59.5361959203,"E",,2002,57.8382737791,"E",,2007,58.1231520147,"E",,2012,56.3093844573,"E",,2017,71.2659979648,"E",,,,"",

